AVAILABILITY & PRICING TEXT FILE,,,,,,,,,,,,,,,,,,,,
Product ID,Product Status,Item Status,Product Description,Description #2,Description #3,Reg Price,P/U Price,SOH,ALC,Avail,PO Date 1,PO Qty 1,PO Date 2,PO Qty 2,PO Date 3,PO Qty 3,PO Date 4,PO Qty 4,PO Date 5,PO Qty 5
B810-DR,Top Seller,Active,B810 & B811 DRESSER,GRAY COLOR,* 1 BOX *,1,1,139,0,139,,,,,,,,,,
B810-EK-SR,Note,Active,B810 EASTERN KING SIDE RAILS,GRAY COLOR,* BOX 3 OF 4 *,0,,54,0,54,,,,,,,,,,
B810-K-FB,Top Seller,Active,B810 EASTERN & CAL. KING FOOTBOARD & SLATS,GRAY COLOR W/ GRAY VELVET FABRIC,* BOX 2 OF 4 *,0,,97,0,97,,,,,,,,,,
B810-K-HB,,Active,B810 EASTERN & CAL. KING HEADBOARD,GRAY COLOR W/ GRAY VELVET FABRIC,* BOX 1 OF 4 *,0,,95,0,95,,,,,,,,,,
B810-M,Top Seller,Active,B810 & B811 MIRROR,GRAY COLOR,* 1 BOX *,1,1,128,0,128,,,,,,,,,,
B810-NS,,Active,B810 & B811 NIGHTSTAND,GRAY COLOR,* 1 BOX *,1,1,314,0,314,,,,,,,,,,
B810-Q-FB,Top Seller,Active,B810 QUEEN FOOTBOARD & SLATS,GRAY COLOR W/ GRAY VELVET FABRIC,* BOX 2 OF 4 *,0,,72,0,72,,,,,,,,,,
B810-Q-HB,Top Seller,Active,B810 QUEEN HEADBOARD,GRAY COLOR W/ GRAY VELVET FABRIC,* BOX 1 OF 4 *,0,,72,0,72,,,,,,,,,,
B810-Q-SR,Note,Active,B810 QUEEN SIDE RAILS,GRAY COLOR,* BOX 3 OF 4 *,0,,72,0,72,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B811-CK3,,Active,B811 3PC. CAL. KING SET,GRAY W/ BLACK VELVET FABRIC,(CK +DR +N),1596,1679,,,26,,,,,,,,,,
B811-CK4C,,Active,B811 4PC. CAL. KING SET W/ EXTRA CHEST,GRAY W/ BLACK VELVET FABRIC,(CK +DR +M +N +C),2293,2413,,,26,,,,,,,,,,
B811-CK4N,,Active,B811 4PC. CAL. KING SET W/ EXTRA NIGHSTAND,GRAY W/ BLACK VELVET FABRIC,(CK +DR +M +2N),2004,2109,,,26,,,,,,,,,,
B811-CK4NC,,Active,B811 4PC. CAL. KING SET W/ EXTRA CHEST & NS,GRAY W/ BLACK VELVET FABRIC,(CK +DR +M +2N +C),2526,2658,,,26,,,,,,,,,,
B811-CKB,,Active,B811 CAL. KING BED,GRAY W/ BLACK VELVET FABRIC,* 4 BOXES *,756,795,,,26,,,,,,,,,,
B811-EK3,,Active,B811 3PC. EASTERN KING SET,GARY W/ BLACK VELVET FABRIC,(EK +DR +N),1596,1679,,,17,,,,,,,,,,
B811-EK4C,,Active,B811 4PC. EASTERN KING SET W/ EXTRA CHEST,GRAY W/ BLACK VELVET FABRIC,(EK +DR +M +N +C),2293,2413,,,17,,,,,,,,,,
